id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
1,DP,588,98,62,665.7421740552596,613.6022463625008,0.005662124982336536,5.835883874999126,0.75,380.42409946014834
1,DOTS,588,194,132,29.770863400436983,27.443897125467945,0.026545542001258582,6.645153084013145,0.75,17.01192194310685
1,SQUISH,588,58,32,1979.988501317559,1824.9115762125657,0.004157207993557677,5.711036708991742,0.75,1131.4220007528909
2,DP,1674,681,396,425.53860496258875,392.214200263772,0.009390332998009399,8.186369958013529,0.75,243.16491712147928
2,DOTS,1674,1567,1164,30.353248293173685,27.98130412976167,0.03221616699011065,10.527622207038803,0.75,17.344713310384964
2,SQUISH,1674,167,72,3043.468497258587,2805.1007679312643,0.004944250016706064,8.784139625000535,0.75,1739.1248555763354
3,DP,1371,164,116,291.03612017852373,268.248330555709,0.006855999992694706,8.352843708969885,0.75,166.30635438772785
3,DOTS,1371,637,454,30.762969306909543,28.35798910634875,0.15324687500833534,10.858161584008485,0.75,17.57883960394831
3,SQUISH,1371,137,50,714.0485129407639,658.1276518295094,0.0049102919874712825,6.626623416988878,0.75,408.0277216804365
4,DP,672,75,74,217.0181040049075,200.0254743218854,0.004573624988552183,5.431515625008615,0.75,124.01034514566143
4,DOTS,672,135,108,22.237558239300526,20.50044362535372,0.17110512498766184,6.254755917994771,0.75,12.707176136743158
4,SQUISH,672,67,40,738.4220826353994,680.5909751370775,0.003806958004133776,5.772373790998245,0.75,421.9554757916568
5,DP,798,196,102,691.8089890126925,637.6344107342708,0.004874040983850136,6.919897540996317,0.75,395.3194222929671
5,DOTS,798,337,302,4.616333021022746,4.260102771344491,0.02334633399732411,6.320292750984663,0.75,2.637904583441569
5,SQUISH,798,79,42,1894.4059797054408,1746.0319840040113,0.0044660409912467,6.2314596669748425,0.75,1082.5177026888234
6,DP,792,76,66,238.84309686685597,220.1402695906483,0.00485016600578092,5.97508283299976,0.75,136.48176963820342
6,DOTS,792,388,234,29.440953703872378,27.139502938668645,0.02585004098364152,6.989281500020297,0.75,16.823402116498503
