id,epsilon,baseline_frechet_time_s,simplify_time_s,simplified_frechet_time_s
7,0.5,26.932737,8.063736,29.155032
4,0.5,27.592320,16.019625,26.643370
6,0.5,26.905431,19.017998,30.915316
3,0.5,27.079376,32.172462,24.029103
9,0.5,32.274954,11.785097,22.461469
1,0.5,46.159354,15.709391,33.707079
12,0.5,36.458329,19.273038,29.047608
13,0.5,30.241110,5.430600,22.982941
14,0.5,27.738241,11.963428,27.739079
15,0.5,26.848332,20.845727,29.385673
19,0.5,31.568405,18.375286,24.319143
16,0.5,36.342994,131.132842,51.834246
18,0.5,33.407486,50.774041,24.603005
22,0.5,22.575512,0.178630,32.306319
21,0.5,25.737771,29.731823,49.492027
23,0.5,22.668385,17.723232,47.031055
25,0.5,23.372046,41.361096,40.129685
24,0.5,24.854694,45.198499,44.024796
26,0.5,37.910249,31.633613,42.109474
27,0.5,26.682495,40.350184,27.995501
30,0.5,23.718283,31.941613,33.649518
32,0.5,31.413616,10.052853,34.492338
33,0.5,29.245281,15.437497,31.990346
37,0.5,25.468964,13.249452,34.974257
42,0.5,31.799133,41.421752,34.841523
44,0.5,32.329528,37.527818,45.945534
50,0.5,29.541934,9.287164,20.531813
49,0.5,30.073055,12.308826,21.325003
46,0.5,38.476390,35.993797,43.013744
51,0.5,21.663870,16.835545,25.205631
52,0.5,27.231525,22.813457,24.298174
53,0.5,27.487805,36.761986,26.792815
54,0.5,22.688801,33.871681,24.141841
55,0.5,31.027138,31.810612,28.221819
57,0.5,23.230073,12.470774,26.612716
58,0.5,23.739315,41.371510,23.287797
60,0.5,20.481173,42.998538,23.203114
64,0.5,36.540182,21.186011,26.499770
66,0.5,26.025294,16.758349,23.198645
70,0.5,30.280917,13.716083,25.470862
71,0.5,31.842513,39.864659,29.573667
75,0.5,27.970311,38.068132,38.746515
77,0.5,34.434780,35.310678,36.102873
78,0.5,27.411005,29.404818,31.236824
80,0.5,28.320669,23.798004,35.351788
92,0.5,50.379559,12.254159,26.187900
91,0.5,45.927376,38.695011,40.698550
