id,epsilon,iter,delta,simplify_time_s,frechet_time_s,dist,points,note
7,0.5,1,124.9524155395973,11.572268,0.210933,176.71405566361972,172,
6,0.5,1,101.99203599670396,20.693259,6.218051,144.24243668018198,76,
5,0.5,1,295.1717716527812,24.484885,5.934975,417.44060972859626,116,
5,0.5,2,236.137417322225,24.704629,2.629870,333.953711986209,134,
13,0.5,1,126.74524451389709,8.578199,8.213398,179.24964956175936,186,
11,0.5,1,112.3128681477708,15.704629,1.168368,159.10995735489533,260,
9,0.5,1,303.80940537488453,16.515675,21.439488,430.0507798586957,112,
2,0.5,1,181.56308607726248,36.935677,22.301631,256.7832026194928,472,
3,0.5,1,124.3239288454107,37.173509,5.444752,175.82465144145314,136,
5,0.5,3,188.90993385778,24.242905,3.864045,267.16394074783227,150,
9,0.5,2,243.04752429990765,15.725273,6.531214,343.72519881334154,122,
5,0.5,4,151.127947086224,23.082240,2.672362,213.73202311403637,176,
9,0.5,3,194.43801943992614,14.027822,5.748954,275.09943368653734,160,
3,0.5,2,99.45914307632857,32.795607,8.753308,140.65996844345275,166,
2,0.5,2,145.25046886181,36.227353,12.408930,205.41991391004902,540,
14,0.5,1,229.4710767972508,15.863152,6.405311,324.52509318661333,94,
9,0.5,4,155.55041555194092,14.126205,3.450126,219.9851988133877,190,
5,0.5,5,120.9023576689792,22.375162,4.860413,170.986285595627,184,
9,0.5,5,124.44033244155274,16.816920,1.260526,175.99000002878043,216,
14,0.5,2,183.57686143780063,18.457216,4.378001,259.62161065948044,108,
5,0.5,6,96.72188613518337,20.426970,0.743186,136.79007750605635,208,
14,0.5,3,146.86148915024052,15.478030,8.747970,207.69824625747842,120,
14,0.5,4,117.48919132019242,14.198836,3.120627,166.15925757298598,152,
15,0.5,1,250.47414878646748,23.691239,8.919742,354.2285477511232,158,
2,0.5,3,116.200375089448,34.977048,65.007310,,,frechet_failed_or_timeout
15,0.5,2,200.37931902917398,24.625779,7.978223,283.3836819334994,190,
23,0.5,1,249.81326763888012,20.473997,63.710071,353.46416229986824,106,
15,0.5,3,160.3034552233392,25.473806,65.007069,,,frechet_failed_or_timeout
21,0.5,1,125.68394755051617,48.492947,62.908838,177.7483472134054,176,
23,0.5,2,199.8506141111041,19.777866,62.103998,282.80417297281366,124,
23,0.5,3,159.8804912888833,21.285299,55.390041,226.2841863081506,146,
29,0.5,1,106.46087190000044,26.089878,46.224721,150.56293934193695,502,
32,0.5,1,127.513605469238,11.978402,41.760211,180.33545715655495,138,
30,0.5,1,108.97987276350044,39.328631,45.979355,154.1256805528332,496,
23,0.5,4,127.90439303110664,20.874949,26.886657,181.0642029723968,160,
23,0.5,5,102.32351442488532,19.691239,65.007841,,,frechet_failed_or_timeout
