id,epsilon,baseline_frechet_time_s,simplify_time_s,simplified_frechet_time_s
4,0.5,-1,-1,-1
2,0.5,21.352166,31.518665,15.977449
5,0.5,14.158910,20.444069,13.643537
1,0.5,48.048434,12.322822,13.257372
3,0.5,28.221349,33.214287,14.602645
6,0.5,15.084003,18.003368,14.412614
7,0.5,13.525014,10.027845,12.828000
8,0.5,-1,-1,-1
9,0.5,20.901012,13.509068,17.219968
11,0.5,13.994169,13.556994,14.532325
10,0.5,-1,-1,-1
13,0.5,14.593771,6.531782,13.899991
12,0.5,18.742402,31.227687,17.675290
14,0.5,18.863255,13.581195,15.534738
15,0.5,22.002039,23.358953,23.479540
17,0.5,-1,-1,-1
18,0.5,15.492842,10.008830,-1
20,0.5,-1,-1,-1
19,0.5,32.974267,31.164538,23.624621
22,0.5,18.758726,0.163859,13.434472
21,0.5,22.056571,48.719449,22.248631
23,0.5,28.405897,20.051872,14.064749
16,0.5,27.996245,234.130001,35.356315
24,0.5,-1,-1,-1
26,0.5,13.201476,51.182772,13.902412
27,0.5,30.345347,38.617468,15.329790
25,0.5,33.110752,47.609425,36.605458
28,0.5,-1,-1,-1
29,0.5,20.711062,25.964119,16.785934
32,0.5,14.900904,11.689576,17.456493
30,0.5,17.842783,40.647980,22.160216
33,0.5,16.226221,20.281303,15.832519
34,0.5,-1,-1,-1
36,0.5,13.130347,10.306243,13.642249
31,0.5,22.597888,106.340065,65.031381
38,0.5,-1,-1,-1
35,0.5,-1,-1,-1
39,0.5,-1,-1,-1
37,0.5,19.097765,12.529075,13.605009
40,0.5,13.883868,0.241112,13.019789
43,0.5,12.795707,0.267494,12.573166
41,0.5,-1,-1,-1
42,0.5,-1,-1,-1
45,0.5,13.888437,0.187187,14.231589
44,0.5,16.356875,36.578458,16.387430
47,0.5,14.216847,0.243806,14.419438
48,0.5,14.556589,14.639202,15.207106
46,0.5,15.734261,38.224191,28.601711
49,0.5,13.905977,14.851812,16.160057
50,0.5,14.680307,12.188318,16.241613
51,0.5,16.650925,17.167747,16.424398
53,0.5,-1,-1,-1
52,0.5,28.827628,21.824886,36.568366
54,0.5,16.054344,38.507792,16.482637
56,0.5,-1,-1,-1
55,0.5,14.780436,46.270251,18.448092
57,0.5,33.792956,14.879390,21.118238
58,0.5,23.192331,42.255882,18.302004
59,0.5,-1,-1,-1
60,0.5,13.592720,51.167950,25.766099
61,0.5,13.364070,38.840767,14.809887
62,0.5,13.363484,76.229480,27.851436
64,0.5,16.711606,24.856837,17.578372
63,0.5,18.157051,35.383186,32.477553
65,0.5,14.650986,23.487142,17.504326
66,0.5,13.366724,21.308577,16.687780
67,0.5,-1,-1,-1
68,0.5,14.382341,42.767516,14.267514
69,0.5,-1,-1,-1
70,0.5,20.946185,18.140016,23.481027
71,0.5,-1,-1,-1
72,0.5,23.237521,31.979145,21.366250
73,0.5,21.807793,23.603500,16.017737
74,0.5,17.751500,33.317634,20.681005
76,0.5,15.934679,18.198671,21.585175
75,0.5,35.772701,39.786423,17.406148
77,0.5,20.569455,33.524393,23.400648
78,0.5,59.091546,0.311537,-1
80,0.5,14.573968,23.560761,17.123928
79,0.5,40.488528,42.550244,14.996884
81,0.5,-1,-1,-1
82,0.5,25.616397,13.074586,14.120836
83,0.5,25.301676,18.590055,20.057940
85,0.5,16.257403,31.701692,19.548291
84,0.5,14.016218,64.408895,19.007590
86,0.5,15.574536,20.984095,17.304362
87,0.5,18.485543,25.234958,14.803111
88,0.5,14.156548,26.434789,18.404233
89,0.5,22.634893,28.617948,20.055949
91,0.5,-1,-1,-1
92,0.5,16.201158,18.702803,15.445141
90,0.5,39.197304,26.377057,15.830570
93,0.5,-1,-1,-1
95,0.5,19.526203,18.145034,34.359680
94,0.5,28.729610,39.624597,20.994307
96,0.5,20.181813,28.351141,65.027440
97,0.5,55.729786,17.252478,23.360013
100,0.5,13.582297,24.424142,21.775084
99,0.5,59.916660,27.836548,17.275962
98,0.5,57.919248,46.161347,15.301539
101,0.5,-1,-1,-1
102,0.5,27.709765,21.743113,19.433560
103,0.5,14.122452,21.341963,16.721637
104,0.5,24.643368,20.696983,19.675276
105,0.5,13.443850,18.133986,16.183896
106,0.5,16.257207,15.492986,14.117285
107,0.5,22.268186,27.609787,16.936599
108,0.5,16.915124,19.290180,15.571583
109,0.5,13.206989,12.521558,15.415781
110,0.5,13.191348,16.167305,14.616496
111,0.5,13.261992,2.752067,15.052919
112,0.5,13.492539,6.548402,13.160951
114,0.5,13.740740,4.832382,13.864765
113,0.5,42.579814,40.021108,15.176310
117,0.5,22.771382,13.571690,14.814103
115,0.5,28.936735,26.078597,24.998053
116,0.5,33.437913,35.722013,24.756252
119,0.5,15.145044,0.182664,14.918604
121,0.5,-1,-1,-1
120,0.5,25.221156,35.252784,42.452914
118,0.5,34.447053,60.267551,55.746430
122,0.5,-1,-1,-1
