id,epsilon,iter,delta,simplify_time_s,frechet_time_s,dist,points,note
42,0.25,1,149.33439438791092,130.483366,306.825629,,,frechet_timeout
42,0.5,1,124.44532865659244,36.732357,52.746835,175.99067076741707,18,
42,0.5,2,112.0007957909332,37.956841,9.524693,153.7596833365466,20,
42,0.5,3,100.80071621183988,40.146732,8.951714,140.3686605933736,22,
42,0.5,4,90.7206445906559,43.154060,9.608860,124.4741943979472,22,
42,0.5,5,81.64858013159031,44.364687,17.027670,115.40929277212116,26,
42,0.5,6,73.48372211843127,34.332645,32.491111,103.9219767173468,30,exceed_dp_points
42,0.75,1,106.66742456279351,22.432618,87.445090,172.0475097043432,18,
42,0.75,2,96.00068210651416,23.172313,13.564196,154.84249808668892,20,
42,0.75,3,86.40061389586275,24.819397,9.644330,139.3587438665902,22,
42,0.75,4,77.76055250627647,25.565899,9.726847,125.42313490971769,22,
42,0.75,5,69.98449725564882,27.905113,2.387034,112.88047857228791,28,
42,0.75,6,62.98604753008394,22.735058,30.231430,101.5930085029995,30,exceed_dp_points
44,0.25,1,101.31463112144668,123.488122,6.882994,122.20706810435489,260,
44,0.25,2,91.18316800930201,127.611103,7.233648,109.62698245098333,274,
44,0.25,3,82.0648512083718,130.365355,6.184822,98.66461533389328,284,
44,0.25,4,73.85836608753463,116.227201,6.474436,89.19767379880213,300,exceed_dp_points
44,0.5,1,84.42885926787224,39.704575,1.947355,119.40511043218096,262,
44,0.5,2,75.98597334108501,35.168726,21.770144,107.46511043243437,274,
44,0.5,3,68.38737600697651,36.835914,4.846376,96.71784799778278,288,
44,0.5,4,61.54863840627886,32.449574,18.678486,87.51790234379301,300,exceed_dp_points
44,0.75,1,72.3675936581762,22.930306,1.888651,116.72887418453898,264,
44,0.75,2,65.13083429235859,23.715410,4.452120,105.05645097263235,276,
44,0.75,3,58.61775086312273,22.041725,3.484606,94.55129555920064,288,
44,0.75,4,52.75597577681046,19.329520,13.299738,85.53351621772978,302,exceed_dp_points
46,0.25,1,71.69203933491305,128.021048,1.403591,86.19317915926527,312,exceed_dp_points
46,0.5,1,59.743366112427545,32.895602,2.286126,84.49054969405044,320,exceed_dp_points
46,0.75,1,51.208599524937895,22.240470,2.161153,82.60088521267001,322,exceed_dp_points
47,0.25,1,0.5422740962647682,0.471803,0.002009,0.649962543032853,8,exceed_dp_points
47,0.5,1,0.4518950802206402,0.214506,0.001755,0.6400190076226542,8,exceed_dp_points
47,0.75,1,0.3873386401891201,0.181344,0.001939,0.6288395404180227,8,exceed_dp_points
48,0.25,1,70.7576024382238,49.882240,0.108115,85.07094965719665,302,exceed_dp_points
48,0.5,1,58.96466869851984,15.030818,0.095708,83.3931236187639,306,exceed_dp_points
48,0.75,1,50.541144598731286,10.023565,0.184985,81.5314596607534,306,exceed_dp_points
49,0.25,1,75.20590687727545,50.160093,0.246578,90.41836533680127,344,exceed_dp_points
49,0.5,1,62.67158906439621,13.907490,0.563951,88.63592643415261,346,exceed_dp_points
49,0.75,1,53.71850491233961,9.235700,0.239423,86.64965990325683,350,exceed_dp_points
50,0.25,1,144.29122048829515,38.470378,0.199852,173.47292757846375,232,
50,0.25,2,129.86209843946565,39.614839,0.294553,156.12627377073935,240,
50,0.25,3,116.87588859551909,39.284053,0.290885,140.51541238517345,248,exceed_dp_points
50,0.5,1,120.24268374024597,10.689419,0.177467,170.14383919311481,234,
50,0.5,2,108.21841536622136,10.942873,0.361478,153.0479696642917,240,
50,0.5,3,97.39657382959923,10.078046,0.274008,137.74431126792814,248,exceed_dp_points
50,0.75,1,103.06515749163941,7.204136,0.260998,166.24239977258884,234,
50,0.75,2,92.75864174247548,7.084692,0.328837,149.6193666498671,240,
50,0.75,3,83.48277756822793,6.660924,0.306604,134.65780240174297,250,exceed_dp_points
51,0.25,1,71.05181206680197,60.545852,1.917020,85.4991730494985,250,exceed_dp_points
51,0.5,1,59.20984338900165,15.684112,300.015772,,,frechet_timeout
51,0.75,1,50.751294333429975,10.370296,300.011346,,,frechet_timeout
52,0.25,1,102.38729788094179,98.807790,30.013146,121.78154037897674,8,
52,0.25,2,92.14856809284761,103.112996,32.545975,110.78016359108611,10,
52,0.25,3,82.93371128356286,140.207638,23.316127,99.70033219701548,12,
52,0.25,4,74.64034015520657,132.909277,26.192747,89.72946912964356,18,exceed_dp_points
