id,epsilon,dp_frechet_time_s,simplify_time_s,simplified_frechet_time_s
40,0.25,9.981908,0.466823,0.001785
40,0.5,9.981908,0.189376,0.001577
40,0.75,9.981908,0.163156,0.001772
42,0.25,208.572559,141.963745,143.509911
42,0.5,208.572559,37.855217,92.646214
42,0.75,208.572559,23.269794,200.072984
44,0.25,16.570458,117.890408,5.600627
44,0.5,16.570458,35.023493,21.725763
44,0.75,16.570458,22.454241,4.958645
45,0.25,0.001112,0.273932,0.001498
45,0.5,0.001112,0.112156,0.001346
45,0.75,0.001112,0.105047,0.001405
46,0.25,1.695297,116.577517,2.583273
46,0.5,1.695297,34.443495,1.942258
46,0.75,1.695297,21.344210,0.544318
47,0.25,0.001594,0.487961,0.003162
47,0.5,0.001594,0.207020,0.001927
47,0.75,0.001594,0.186447,0.001767
48,0.25,0.088991,51.054896,0.109262
48,0.5,0.088991,13.596480,0.084637
48,0.75,0.088991,9.551164,0.096909
49,0.25,0.472589,52.105395,0.444089
49,0.5,0.472589,13.982151,0.418591
49,0.75,0.472589,9.312506,0.939070
50,0.25,0.418280,37.749600,0.464921
50,0.5,0.418280,10.126099,0.328295
50,0.75,0.418280,6.926346,0.174635
51,0.25,0.199024,59.445557,0.871396
51,0.5,0.199024,16.884054,0.249263
51,0.75,0.199024,11.030320,19.763577
52,0.25,19.005563,122.262105,17.032275
52,0.5,19.005563,29.640381,13.222639
52,0.75,19.005563,19.703567,42.356799
53,0.25,1.567918,156.813426,2.634116
53,0.5,1.567918,42.432043,1.671996
53,0.75,1.567918,27.743343,3.742865
54,0.25,2.735590,126.955797,1.011873
54,0.5,2.735590,35.520802,1.829393
54,0.75,2.735590,23.233668,2.437391
55,0.25,27.111575,118.581976,1.689229
55,0.5,27.111575,33.504089,1.201741
55,0.75,27.111575,21.702133,2.168774
56,0.25,0.200115,129.116279,3.779555
56,0.5,0.200115,36.603845,7.313689
56,0.75,0.200115,21.106356,5.492744
57,0.25,2.376899,47.234144,0.638458
57,0.5,2.376899,12.442773,0.287042
57,0.75,2.376899,8.035541,0.272841
58,0.25,0.397890,128.651799,3.104781
58,0.5,0.397890,36.908196,3.503662
58,0.75,0.397890,23.307049,2.452347
60,0.25,38.775775,195.566338,8.484404
60,0.5,38.775775,54.728889,10.043171
60,0.75,38.775775,33.684301,9.446076
61,0.25,0.203784,122.440168,3.713984
61,0.5,0.203784,29.921698,7.380151
61,0.75,0.203784,19.468212,23.609921
62,0.25,0.052544,210.608651,0.069453
62,0.5,0.052544,64.658894,8.301123
62,0.75,0.052544,40.369633,11.388509
63,0.25,0.557444,115.132565,8.052726
63,0.5,0.557444,29.942282,3.215699
63,0.75,0.557444,19.375520,2.131075
64,0.25,3.903899,86.597389,0.634377
64,0.5,3.903899,23.676942,0.402973
64,0.75,3.903899,15.712247,0.791298
65,0.25,5.276479,76.339234,0.845836
65,0.5,5.276479,20.764459,0.965449
65,0.75,5.276479,13.775579,1.870732
66,0.25,6.170396,69.117874,2.908756
66,0.5,6.170396,18.697736,2.747863
66,0.75,6.170396,12.192507,0.998438
68,0.25,16.003352,149.605168,0.901507
68,0.5,16.003352,40.107790,0.773425
68,0.75,16.003352,27.035526,1.736444
70,0.25,2.705894,52.969161,7.603855
70,0.5,2.705894,16.240569,3.613489
70,0.75,2.705894,10.564162,3.018298
71,0.25,44.956848,161.199099,11.687129
71,0.5,44.956848,43.178847,3.859727
71,0.75,44.956848,27.936312,6.976007
72,0.25,7.159499,112.841814,2.038695
72,0.5,7.159499,30.573521,4.911707
72,0.75,7.159499,19.751696,19.298494
73,0.25,18.741551,77.765450,1.758571
73,0.5,18.741551,21.635286,1.855414
73,0.75,18.741551,13.564070,1.750834
74,0.25,110.125094,103.790604,4.560668
74,0.5,110.125094,28.526371,1.831736
74,0.75,110.125094,19.274817,6.579469
