id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
4,DP,672,75,82,217.0181040049075,183.65776258351733,0.003976708991103806,0.28502999999999995,0.8,120.56561333605973
4,DOTS,672,135,108,22.237558239300526,18.82166178317134,0.019974458002252504,0.22616999999999998,0.8,12.354199021833626
4,SQUISH,672,67,48,738.4220826353994,624.8510299824942,0.004373916002805345,0.17746,0.8,410.23449035299967
1,DP,588,98,66,665.7421740552596,563.3529233273556,0.004076041994267143,0.26150999999999996,0.8,369.8567633640331
1,DOTS,588,194,140,29.770863400436983,25.196301687538746,0.02295704100106377,0.27212000000000003,0.8,16.539368555798323
1,SQUISH,588,58,34,1979.988501317559,1675.4651258208246,0.004032666009152308,0.17534,0.8,1099.9936118430883
3,DP,1371,164,132,291.03612017852373,246.27790597735034,0.006044916997780092,0.70751,0.8,161.6867334325132
3,DOTS,1371,637,472,30.762969306909543,26.03678045379008,0.01897554199967999,0.5391900000000001,0.8,17.090538503838633
3,SQUISH,1371,137,54,714.0485129407639,604.2277461436965,0.005445250004413538,0.42111000000000004,0.8,396.69361830042436
2,DP,1674,681,450,425.53860496258875,360.09414973589344,0.009345750004285946,0.66395,0.8,236.41033609032706
2,DOTS,1674,1567,1198,30.353248293173685,25.690993222393463,0.021308416995452717,0.5023299999999999,0.8,16.862915718429825
2,SQUISH,1674,167,88,3043.468497258587,2575.3773263768767,0.006485290999989957,0.6994400000000001,0.8,1690.815831810326
5,DP,798,196,110,691.8089890126925,585.415532708057,0.007197792001534253,0.36915,0.8,384.33832722927355
5,DOTS,798,337,306,4.616333021022746,3.9123455665595994,0.01670225000998471,0.29479,0.8,2.5646294561237477
5,SQUISH,798,79,52,1894.4059797054408,1603.043990477,0.004694083996582776,0.36202,0.8,1052.4477665030226
6,DP,792,76,70,238.84309686685597,202.1140536108914,0.005063207994680852,0.26861,0.8,132.69060937047553
6,DOTS,792,388,254,29.440953703872378,24.91838758915795,0.0163233330094954,0.27711,0.8,16.35608539104021
6,SQUISH,792,79,42,477.3178032605049,403.90697512649695,0.003986832991358824,0.29694,0.8,265.1765573669472
8,DP,5,5,10,0.0,8.879192686811778e-07,0.0027981249877484515,0.0,0.7,0.0
