id,n_points,epsilon,delta,base_ms,opt_ms,ratio,saved_ms
1,588,0.5,200.0,25.1364,26.2211,1.0432,-1.0847
2,1674,0.5,200.0,67.6599,64.861,0.9586,2.7989
3,1371,0.5,200.0,63.1328,78.1148,1.2373,-14.982
4,672,0.5,200.0,37.3861,30.7173,0.8216,6.6688
5,798,0.5,200.0,30.909,29.597,0.9576,1.312
6,792,0.5,200.0,27.4065,26.3937,0.963,1.0128
7,454,0.5,200.0,20.3943,21.1085,1.035,-0.7142
8,5,0.5,200.0,0.314,0.2823,0.899,0.0317
9,643,0.5,200.0,27.3082,25.6271,0.9384,1.6811
10,5617,0.5,200.0,288.8068,267.1983,0.9252,21.6085
11,703,0.5,200.0,57.0718,36.7668,0.6442,20.305
12,814,0.5,200.0,66.1352,69.9944,1.0584,-3.8592
13,368,0.5,200.0,16.4047,13.85,0.8443,2.5547
14,661,0.5,200.0,26.0902,24.4456,0.937,1.6446
15,1131,0.5,200.0,42.3585,39.9721,0.9437,2.3864
16,4463,0.5,200.0,635.5767,532.3654,0.8376,103.2113
17,1979,0.5,200.0,121.2922,107.4185,0.8856,13.8737
18,1615,0.5,200.0,131.3616,129.4981,0.9858,1.8635
19,808,0.5,200.0,53.4447,50.9901,0.9541,2.4546
20,1520,0.5,200.0,90.8353,72.3235,0.7962,18.5118
21,1491,0.5,200.0,79.6528,81.0348,1.0174,-1.382
22,2,0.5,200.0,0.1799,0.1795,0.9978,0.0004
23,865,0.5,200.0,36.9865,38.0015,1.0274,-1.015
24,2030,0.5,200.0,116.1847,82.779,0.7125,33.4057
25,2260,0.5,200.0,97.5894,117.8513,1.2076,-20.2619
26,1544,0.5,200.0,147.477,110.0288,0.7461,37.4482
27,1974,0.5,200.0,78.5005,70.6157,0.8996,7.8848
28,6023,0.5,200.0,364.0623,282.3133,0.7755,81.749
29,1404,0.5,200.0,60.7086,52.1101,0.8584,8.5985
30,1966,0.5,200.0,73.2426,75.8933,1.0362,-2.6507
31,3602,0.5,200.0,183.5686,174.6742,0.9515,8.8944
32,550,0.5,200.0,23.3006,25.0855,1.0766,-1.7849
33,975,0.5,200.0,39.8334,32.9433,0.827,6.8901
34,4594,0.5,200.0,207.8384,192.2745,0.9251,15.5639
35,5621,0.5,200.0,351.8658,404.5593,1.1498,-52.6935
36,464,0.5,200.0,25.0545,23.3015,0.93,1.753
37,426,0.5,200.0,30.4858,27.653,0.9071,2.8328
38,1446,0.5,200.0,68.5268,61.9739,0.9044,6.5529
39,1890,0.5,200.0,92.2152,68.7787,0.7458,23.4365
40,7,0.5,200.0,0.3172,0.3199,1.0085,-0.0027
41,1792,0.5,200.0,84.8072,91.7404,1.0818,-6.9332
42,1575,0.5,200.0,111.2713,102.6871,0.9229,8.5842
43,5,0.5,200.0,0.2321,0.2351,1.0129,-0.003
44,1603,0.5,200.0,75.3083,78.16,1.0379,-2.8517
45,3,0.5,200.0,0.2006,0.2087,1.0404,-0.0081
46,1693,0.5,200.0,70.9991,69.5998,0.9803,1.3993
47,8,0.5,200.0,0.7013,0.5873,0.8374,0.114
48,905,0.5,200.0,62.6946,43.7035,0.6971,18.9911
49,763,0.5,200.0,42.9893,40.064,0.932,2.9253
50,576,0.5,200.0,30.9736,26.0376,0.8406,4.936
