id,n_points,epsilon,delta,base_ms,opt_ms,ratio,saved_ms
1,588,299.0,1.0,4.0539,3.8693,0.9545,0.1846
2,1674,299.0,1.0,9.2308,8.7945,0.9527,0.4363
3,1371,299.0,1.0,7.8924,7.4737,0.9469,0.4187
4,672,299.0,1.0,4.8629,4.5792,0.9417,0.2837
5,798,299.0,1.0,4.3595,4.1191,0.9449,0.2404
6,792,299.0,1.0,4.4606,4.2754,0.9585,0.1852
7,454,299.0,1.0,2.6385,2.3994,0.9094,0.2391
8,5,299.0,1.0,0.0568,0.0594,1.0458,-0.0026
9,643,299.0,1.0,4.097,3.9127,0.955,0.1843
10,5617,299.0,1.0,42.5,41.8298,0.9842,0.6702
11,703,299.0,1.0,4.4081,4.2547,0.9652,0.1534
12,814,299.0,1.0,10.9745,9.3572,0.8526,1.6173
13,368,299.0,1.0,1.9419,1.8591,0.9574,0.0828
14,661,299.0,1.0,3.8899,4.2132,1.0831,-0.3233
15,1131,299.0,1.0,7.6833,7.4641,0.9715,0.2192
16,4463,299.0,1.0,93.5822,81.6028,0.872,11.9794
17,1979,299.0,1.0,14.8638,17.9752,1.2093,-3.1114
18,1615,299.0,1.0,37.7664,25.9215,0.6864,11.8449
19,808,299.0,1.0,9.0738,8.7373,0.9629,0.3365
20,1520,299.0,1.0,13.208,14.5869,1.1044,-1.3789
21,1491,299.0,1.0,18.3214,14.2008,0.7751,4.1206
22,2,299.0,1.0,0.0435,0.0418,0.9609,0.0017
23,865,299.0,1.0,6.8367,6.4372,0.9416,0.3995
24,2030,299.0,1.0,21.1895,21.6097,1.0198,-0.4202
25,2260,299.0,1.0,19.0667,16.0595,0.8423,3.0072
26,1544,299.0,1.0,16.6663,16.2998,0.978,0.3665
27,1974,299.0,1.0,16.6127,17.5135,1.0542,-0.9008
28,6023,299.0,1.0,48.9558,50.3483,1.0284,-1.3925
29,1404,299.0,1.0,8.768,8.3309,0.9501,0.4371
30,1966,299.0,1.0,11.734,11.3385,0.9663,0.3955
31,3602,299.0,1.0,33.8598,32.6924,0.9655,1.1674
32,550,299.0,1.0,3.9493,3.2887,0.8327,0.6606
33,975,299.0,1.0,5.6943,5.5187,0.9692,0.1756
34,4594,299.0,1.0,38.9194,36.1225,0.9281,2.7969
35,5621,299.0,1.0,73.6838,63.8562,0.8666,9.8276
36,464,299.0,1.0,3.3694,3.2041,0.9509,0.1653
37,426,299.0,1.0,3.8262,3.2588,0.8517,0.5674
38,1446,299.0,1.0,10.1297,10.1662,1.0036,-0.0365
39,1890,299.0,1.0,11.6753,11.109,0.9515,0.5663
40,7,299.0,1.0,0.0701,0.0761,1.0856,-0.006
41,1792,299.0,1.0,10.6497,10.2137,0.9591,0.436
42,1575,299.0,1.0,15.2009,16.1855,1.0648,-0.9846
43,5,299.0,1.0,0.0569,0.0602,1.058,-0.0033
44,1603,299.0,1.0,12.1981,11.4393,0.9378,0.7588
45,3,299.0,1.0,0.0519,0.0523,1.0077,-0.0004
46,1693,299.0,1.0,12.1075,11.3836,0.9402,0.7239
47,8,299.0,1.0,0.0871,0.0872,1.0011,-0.0001
48,905,299.0,1.0,6.8334,6.7349,0.9856,0.0985
49,763,299.0,1.0,5.7961,5.4415,0.9388,0.3546
50,576,299.0,1.0,3.4369,3.5036,1.0194,-0.0667
